1	0.01	0.01	0.008	0.008	0.009	0.009	0.008	0.009	0.009	0.009	0.008	0.009	0.008	0.009	0.009	0.008	0.077	0.011	0.007	0.008	0.009	0.008	0.008	0.008	0.008	0.008	0.009	0.009	0.008	0.009	0.007
2	0.019	0.019	0.019	0.017	0.018	0.019	0.017	0.017	0.018	0.018	0.019	0.019	0.018	0.018	0.018	0.019	0.019	0.019	0.018	0.019	0.018	0.02	0.02	0.02	0.02	0.02	0.019	0.018	0.019	0.02	0.019
3	0.055	0.048	0.046	0.048	0.046	0.048	0.05	0.05	0.05	0.053	0.051	0.051	0.052	0.051	0.051	0.053	0.053	0.05	0.051	0.052	0.057	0.051	0.05	0.052	0.054	0.042	0.055	0.052	0.051	0.055	0.052
4	0.139	0.142	0.202	0.135	0.139	0.138	0.139	0.136	0.136	0.129	0.126	0.134	0.144	0.15	0.15	0.15	0.106	0.1	0.099	0.099	0.099	0.101	0.095	0.094	0.094	0.094	0.093	0.094	0.109	0.11	0.1
5	0.31	0.24	0.24	0.241	0.241	0.267	0.303	0.242	0.24	0.24	0.241	0.241	0.241	0.241	0.27	0.3	0.242	0.239	0.239	0.24	0.241	0.242	0.24	0.242	0.272	0.292	0.311	0.311	0.308	0.341	0.308
6	0.641	0.517	0.504	0.529	0.535	0.585	0.565	0.495	0.493	0.492	0.49	0.568	0.603	0.492	0.491	0.5	0.51	0.502	0.491	0.518	0.491	0.492	0.495	0.491	0.496	0.531	0.502	0.535	0.493	0.518	0.502
7	1.381	1.255	1.24	1.272	1.264	1.276	1.279	1.413	1.572	1.648	1.318	1.337	1.293	1.267	1.33	1.491	1.663	1.708	1.517	1.356	1.277	1.483	1.428	1.234	1.233	1.597	1.63	1.571	1.271	1.241	1.285
8	3.157	4.047	4.098	4.093	4.312	4.173	4.146	4.106	4.074	4.048	4.035	3.981	4.153	4.083	4.35	4.061	3.486	3.952	4.074	3.544	3.613	3.282	3.247	3.705	3.669	3.246	3.345	3.356	3.277	3.283	3.261
9	9.826	10.824	8.316	8.459	8.449	8.332	8.355	10.567	8.733	8.326	8.753	8.857	9.229	8.382	8.494	8.451	8.379	8.263	8.271	8.267	8.272	8.242	8.317	8.333	8.366	8.55	8.603	8.828	8.316	8.495	8.598
10	17.659	17.878	17.938	17.503	18.881	17.946	17.454	17.512	17.417	23.534	18.734	17.627	17.59	17.487	17.543	19.191	17.898	18.07	17.487	17.564	17.584	17.442	17.931	17.39	17.388	17.385	17.345	17.396	17.495	17.513	17.392
11	45.547	45.456	45.918	48.373	46.693	46.03	45.768	46.434	46.364	45.981	45.546	45.701	45.904	46.31	46.276	46.212	47.618	46.361	45.525	45.646	47.165	45.959	45.907	45.759	45.624	47.228	45.813	45.516	46.09	47.43	45.636
12	105.11	105.633	105.16	107.264	105.332	105.225	105.876	105.759	107.353	115.077	107.651	105.842	105.428	105.088	105.348	108.31	105.651	105.676	106.874	104.958	115.228	105.633	107.248	105.611	107.132	107.075	107.794	105.902	106.926	108.313	106.199
